source_row_id,text,source_topic_8,source_topic_44,gt_policy_domain
1765,What reports has he received on the stability of the crater of Mt Ruapehu following the and eruptions?,economy,technology.and.infrastructure,Economy
1766,"I move, That the Intellectual Disability (Compulsory Care) Bill be now read a second time. This Bill defines the circumstances under which certain individuals with an intellectual disability may be subject to assessment and compulsory care. There are four main reasons for the introduction of this Bill. Firstly, when the Mental Health (Compulsory Assessment and Treatment) Act was passed, the provisions of the Act specifically excluded people with an intellectual disability unless they had a psychiatric illness. This was a deliberate exclusion because an intellectual disability is a learning disability, not a psychiatric illness. Secondly, there is concern about the appropriate care for a small number of people with an intellectual disability who either have been charged with or convicted of an imprisonable offence. People in this group are often inappropriately placed in prisons or in forensic units. Thirdly, there is concern about the appropriate care for a small number of people with an intellectual disability whose behaviour poses a serious risk of danger to themselves or others in the community if such a person with an intellectual disability refuses to access services that provide support to manage or contain these behaviours. Fourthly, everyone in the community has rights to protection and safety. This Bill may apply to approximately people, of whom about may be under the age of years, who meet the criteria for intellectual disability and who have been charged with and/or convicted of an imprisonable offence, and/or whose behaviour poses a serious risk to themselves or others, and who cannot be cared for on the basis of a voluntary agreement between that person and his or her caregivers. People who have offended may be detained under the Bill as either a special care recipient or a civil care recipient. People who have not offended can only be given compulsory care orders as civil care recipients. Status as a special care recipient applies to people who would otherwise have been imprisoned, and for whom a court wishes to apply the most restrictive powers available under this Bill, including detention in a secure facility. Status as a civil care recipient allows a wider range of care and support options, with the emphasis on placing the person in the least restrictive environment commensurate with keeping that person and others safe. The Bill also applies to people under years who meet the criteria for intellectual disability and whose behaviour poses a serious risk of danger to themselves or others, and who cannot be cared for in any other way. Currently the Department of Child, Youth and Family Services is caring for around five young people with an intellectual disability whose behaviour poses a serious risk of danger to themselves or others. It is inappropriate to place these young people with other young people subject to the Children, Young Persons, and Their Families Act and who do not have an intellectual disability. There are limitations to the secure care provisions of the Children, Young Persons, and Their Families Act, and I would add that the Bill in terms of these provisions is to be used as a last resort. I wish to repeat that this Bill affects a very small number of young people---about five a year---and the provisions in the Bill are a way of addressing some of the limitations in the Children, Young Persons, and Their Families Act. I do understand that there is concern about this portion of the Bill. The principles in the Bill underlying the provision of compulsory care apply to civil care recipients and also apply to special care recipients to the extent that they are compatible with the provisions of any court order. These principles provide that a compulsory care order is used as the option of last resort. Every care recipient should receive care that protects that individual's health and safety and that of others, and every care recipient should receive care that protects the rights of that care recipient. Additional principles in the Bill in relation to young people under recognise their special vulnerability. These include ensuring that the welfare and interests of the child and young person remain paramount, ensuring wherever possible that the family and wider family group participate in decisions affecting the child or young person, maintaining and strengthening the child or young person's links with the family group, and considering the impact of any decision on the stability of the family group. There is a detailed framework for administering compulsory care under the Bill. While it contains a number of statutory powers of compulsion that require care recipients to comply with a compulsory care order, these powers are balanced by specific safeguards against the abuse of these powers. That is always a paramount and overriding principle. These safeguards include -monthly clinical reviews of the need for the care order, a court review of the terms and conditions of a compulsory care order months after commencement, the role of the district inspectors, and the ability of a High Court judge to inquire into any matter relating to a person under this Bill, as that judge sees fit. In addition to the safeguards outlined, the Bill also provides for the protection of care recipients' rights including a careful assessment process to ensure that the legislation is used only for those people who meet the criteria set out in the Bill, information about the assessment, any care order and specific individual rights in a form able to be understood, and consumer rights under the Code of Health and Disability Services Consumers Rights. In summary this Bill sets out the limits that can be imposed by the courts on people with an intellectual disability who meet the criteria for compulsory care, and in addition it ensures that the legal sanctions within the Bill are options of last resort only. It requires the courts to focus on the least restrictive intervention, and requires regular independent assessments and reports to the court. It sets out the legal and administrative responsibilities of personnel involved in assessment, care management, and review, and it ensures that the affected people have access to legal advice. It is a very important measure, and great care has been taken to ensure the proper balance between proper care for the people who are affected and the rights and safety of the community.",social.groups,underprivileged.minority.groups,Social Groups
1767,"The Government is committed to avoiding litigation, understanding that litigation processes do not always help in matters such as these. As I have already said, these matters are under negotiation between the parties concerned.",economy,market.regulation,Economy
1768,"Is the Minister concerned that the appointment of John Davy sends a message to M~aori broadcasters and managers that their skills are not good enough for the job, and how does such an appointment fit with the Minister's own kaupapa of developing M~aori people?",fabric.of.society,multiculturalism,Fabric of Society
1769,"Further to her answer yesterday regarding the Royal Commission's recommendations which made specific reference to the Treaty of Waitangi or Maori cultural issues, on what specific ``matters'' is the Government ``currently engaged in discussion with members of the Maori caucus''?",fabric.of.society,multiculturalism,Fabric of Society
1770,"If that is to say that the Prime Minister had no special input, why did the Prime Minister's spokesperson tell the media that the Prime Minister had probably discussed the provision with the Associate Minister and that the Prime Minister was not behind the clause being added, and why did the Minister refuse to explain the provision to the very, very interested news media?",political.system,political.authority,Political System
1771,"I raise a point of order, Mr Speaker. My understanding is that you have ruled about the use of epithets directed at members of Parliament in question time. We heard a string of them just then.",fabric.of.society,traditional.morality,Fabric of Society
1772,"I raise a point of order, Mr Speaker. We always have this problem, but it has got particularly worse. There are some answers that we all enjoy hearing, and Labour Party members yell and scream so that we cannot hear them. I would like to hear the answers to the questions, particularly that one. I know that Labour Party members do not like our being able to hear it.",political.system,political.authority,Political System
1773,"Mr Damien O'Connor does not understand. He should listen to the people on the West Coast first and then listen to the fishing industry. He would hear that this is what is happening. The protocol that was signed up to requires only that fishing vessels get a permit. That is all. But this legislation says: ``Oh, no! That's not enough regulation. Oh, no! That's not doing enough. We will require nationals in charge of a fishing vessel to get permits as well.'' What is the point of that, if they are fishing on a New Zealand boat in New Zealand waters? None whatsoever. But here is the problem. What happens if they are fishing on an Australian boat? What happens if they are fishing on a Chilean boat? What happens if they are fishing on a Croatian boat? If they do not come back to the chief executive of the New Zealand Ministry of Fisheries and get a permit---and Mr Damien O'Connor knows that this is right---because they are fishing out of Croatia or Chile, they are criminals. They are crooks. They are breaking the law, and they are liable to a fine of up to $,. If they return to New Zealand, they could be for ever denied a permit to fish. This is not required by any international obligation that we have signed up to. It is not required by common sense. It is not required to protect the fishery resources. But this Government is doing it and Labour is supporting it against the interests of New Zealand fishermen. We have some of the greatest fishermen in the world. New Zealand fishermen are fishing on Icelandic boats for orange roughy, on French boats for orange roughy, on South African boats for orange roughy, and on Australian boats for orange roughy. Why? Because these New Zealand fishermen are very good. What is the response of the bureaucracy? What is the response of the Labour Party? What is the response of the National Party that supposedly supports industry, supposedly supports enterprise, and supposedly supports initiative? Its response is: ``Oh! You're being naughty. You're doing wrong things. You've got to come back to MAF in Wellington to get a permit.'' Why? Let the Minister explain why. How does coming back to Wellington to get a permit help in the protection of New Zealand fisheries? Not at all. We would like some explanation for that. What is it saying to the New Zealand fishing industry? It is saying: ``Don't be a New Zealander. We don't want you. Don't fish out of New Zealand. If you want to fish the high seas, go to Chile.'' We are telling them to take their business interests, go to Chile, and fish out of Chile, because that Government will not attack them. That Government will not put unnecessary red tape in front of them. All we have done is not to protect the fish. All we have done is to hobble New Zealanders. We have hobbled New Zealand fishing interests and driven them off shore. Where is the logic? Where is the sense? When we look at this legislation we get the sense that New Zealand politicians have gone overseas, signed up to a treaty, and felt great. They have hobnobbed with the politicians of the world. They have signed an agreement, and they have said to the officials and the politicians overseas: ``Don't worry. We will look good. We will lead the world. We will hobble our fishing industry more than you can hobble yours.'' In doing that, we have sold New Zealand's fishing interests down the Swanee. I repeat that everyone accepts that we need to regulate on the high seas. Everyone accepts that the fish need protection on the high seas. But why do we go as far as this? Why do we require a New Zealand national to carry a permit from Wellington to control him as though he is some paedophile going to Thailand? What he is in fact is a hard-working individual valued around the world---valued in Australia, valued in Chile, valued in Iceland, valued in Croatia---but not valued here in New Zealand by his own Government, by the National Party, or by the Labour Party. What we are doing is wrong.",social.groups,agriculture.and.farmers,Social Groups
1774,"One of the great things about the Labour Party is that not one of its members can do arithmetic. Labour members say they will get into Government and change this legislation, and take the top rate of tax from c in the dollar up to c in the dollar. They have said that they do not know what they will do to the fringe-benefit tax or to the company rate of tax, but they believe that if they increase the top rate of tax, they can get an extra $ million. I tell the Labour Party that it will get nothing like $ million. The sad thing is that Labour members go around the country promising to spend $ billion. Bills read a third time.",economy,economic.orthodoxy,Economy
1775,We're sympathetic to anyone who leaves the Alliance.,political.system,political.authority,Political System
1776,"Absolutely! I will take notice of it. I always take notice of the Chairperson. What happened was that the law was changed, and it was not explained to the Minister. It was said that the change was just confirming the law and it would be non-controversial. In fact, member after member rose in the second reading debate and said that it was non-controversial. As was pointed out yesterday in the debate, it became like an archaeological dig with the officials from the Inland Revenue Department to try to understand what was going on. We discovered that taxpayers were having legal proceedings, and the law was being changed on them retrospectively. Not only that, we heard that a taxpayer was having the law changed and penalties would apply, quadrupling retrospectively his tax liability. I want to make a point to the Minister. He will go on about the $ million at stake, but he knows that that---",social.groups,labour.groups,Social Groups
1777,"The Minister can say ``excuse me'' about the community wage but all afternoon we have heard that it was a Labour Party idea back in and New Zealand First pinched it off them. I want to go through how to evaluate this Budget. The only way I can do it is to go back to what the previous Prime Minister, Jim Bolger, laid out as his programme in his famous ``springtime'' speech. He described what work was under way within Cabinet and what we would expect to see in this Budget if Ministers were doing their job. I remind the House that when Prime Minister Shipley took over from Mr Bolger she said that we would have more policy focus and more policy direction. One would expect to see everything that Mr Bolger said was under way, plus something more. In his ``springtime'' speech Mr Bolger promised increased private-sector involvement in health, in education, and in welfare. Did this Budget deliver anything on former Prime Minister Bolger's promise? No, it did not. What happened to that work? It has disappeared. Mr Bolger said that the work was under way. We have seen nothing. In his ``springtime'' speech Mr Bolger promised an increased commitment to the bulk funding of schools. On that promise we can give this Budget a tick. The Government is to be congratulated on its moves there. I predict that by the end of this year---contrary to what Mark Gosche believes--- percent of schools will have opted for bulk funding. They know that it is better for children's education. Mr Bolger promised a major rethink of the Resource Management Act and a review of the role and function of local government. None of those promises have been delivered on in this Budget. He also promised a decision that would provide for clear ownership of the Auckland Regional Services Trust. The coalition Government has failed to deliver on that promise. He promised privatisation of Government Property Services, airports, TVNZ Television, and Coalcorp---Coalcorp is now known as Solid Energy. The only thing that is definite to be privatised---and we think it is still definite---is the airports. In those terms we have a partial success. The other promise was to open up accident compensation to more competition. In that regard, the Budget has been a success. If we count up the promises, we have had four successes and failures. They are not on our terms, but on Prime Minister Bolger's own work programme. Using what Prime Minister Bolger said should be the benchmark, this Budget does not go far enough. We have heard much talk about what a centre-right Budget would do. We have heard questions from the Labour Party about what an ACT Government would do. I would like to explain to the Labour Party what it is to be in Opposition and what it is to be a parliamentarian. When the Government puts up its Budget, I suggest that a successful Opposition party should put up an alternative. We have heard nothing from Labour---not one idea or one policy. I will tell the House what members of an ACT Government would do---in coalition, of course, with our brothers and sisters in the National Party. The first thing we would do is halt the $ billion spend-up. That is a joke and a mistake. It is costing us investment and jobs. We would follow what the Minister of Finance and Minister of Revenue want to do. We would make a firm commitment to ongoing tax cuts---not just next year, as promised at the time of the last election, but in each year after that in order to give this country a boost and in order to put more money into the pockets of working New Zealanders. I know that Labour opposes that, but the ACT party favours more money in the pockets of working New Zealanders. The other thing we would do is open up the health and school sector to private competition. We would allow the money that we currently spend on behalf of parents and families to be fully portable to the private sector. That would allow the security, the choice, and the competition that New Zealanders are calling out for. We have to accept that politicians have failed our children in schools too often. They have failed us in terms of health care for our elderly, our children, and our families. If we cannot deliver on secure health-care we should allow each and every family to take their money, opt out of the system, and see whether they can get a better deal for themselves in the private sector. Just as with the post office and the railways, they would get a better deal. I know that the National Party wants to do it. It knows that it would work with accident compensation, and, so too, it would work in schools and in health care. If ACT was in Government it would undertake major tax benefit reform. It is not enough just to say that people should get back to work. We also need the incentive to get back to work. We need to follow the example of Tony Blair of the British Labour Party in terms of encouraging people into work rather than just waving the stick around. We have not seen any regulatory reforms to cut red tape. A centre-right Budget would do that. We have not seen any liberalisation of the labour market. That is a major barrier to people getting jobs. A centre-right Budget would undertake that reform in order to deliver the jobs.",economy,free.market.economy,Economy
1778,"I am concerned that people are trifling with the Chair and taking up Parliament's time. I understand Dr Nick Smith's concern, because while he was secretly plotting to unseat the Prime Minister---",political.system,political.authority,Political System
1779,"This man really is on another planet. Mr Anderton came along to the select committee and told the committee that he thought he was on another planet. Even his own MPs on that committee agreed with him on that, and that is another example. This Government is against home ownership, it is against the private sector, and it is subsidising State housing while not subsidising low-income families into housing. Mr Anderton can shake his head, but I give the Committee one example: Mr Anderton will not stand up here tonight and take a -minute call to explain this policy and why it is here.",economy,free.market.economy,Economy
1780,Earlier we discussed the philosophy of this bill. I would like to pick up on one particular point and invite Sandra Lee and Willie Jackson to consider it.,political.system,political.authority,Political System
1781,"And I say to Chris Carter that it was wrong then. In fact, I ask Chris Carter to stand in this House and point out to me any article in the Treaty of Waitangi that states that M~aori are entitled to more favourable treatment. There is nothing in the Treaty of Waitangi that accords favourable treatment to anyone. Article cedes sovereignty, article establishes that M~aori's property is theirs, article states that M~aori will be treated as British citizens like everyone else. What does that mean? It means the rule of law and respect for property rights. Nothing in that treaty states that there will be more favourable treatment for one race or another. In fact, the Treaty of Waitangi is a hymn to equality. It is a hymn to respect for the individual. It is all about treating each and every New Zealander, irrespective of his or her race, irrespective or his or her origin, and irrespective of his or her ethnicity, one and the same before the law. That is what the Treaty of Waitangi is all about. For this Government to be suggesting in a free-trade agreement with Singapore that the Treaty of Waitangi implies ``more favourable treatment to M~aori'' is a nonsense. Members should ask themselves what possible implications the Treaty of Waitangi has for free trade with anyone, other than that M~aori are entitled, like every other New Zealander, to buy and sell what they own like everyone else, without the busybody Rod Donald who wants to turn us into the North Korea of the South Pacific. The Treaty of Waitangi says that M~aori can trade with anyone they like, just like non-M~aori. No one from the Government benches has got up and said what practical difference that article makes to the free-trade deal with Singapore. Not one of them has explained the implications. So, yes, the ACT party was opposed to that and is opposed to that. We will remain opposed, because we stand for free trade and for every individual being treated equally before the law.",welfare.and.quality.of.life,equality,Welfare and Quality of Life
1782,"Not at all. This is going to be a long debate, and you said in your reply to the point of order that you had not seen Muriel Newman. I ask that in future, before you decide to put the question, you cast your eyes right around the Chamber, because it disadvantages this party to be sitting in this corner. A party vote was called for on the question, That the question be now put. Ayes Labour ; Alliance ; Green Party . Noes New Zealand National ; ACT New Zealand ; New Zealand First ; United New Zealand . Majority for: Motion agreed to.",political.system,political.authority,Political System
1783,"I understand that she did have a cigarillo once and it was widely reported. It is unbelievable that this Government is putting up the tax on tobacco while at the same time, amazingly, it is encouraging people to smoke cannabis. What I do not understand is what the Government expects if it puts cannabis---",fabric.of.society,traditional.morality,Fabric of Society
1784,"When the House broke for tea, I was explaining about how the Minister of Defence and the Minister for State Owned Enterprises, the same man, Mark Burton, will appear only briefly in front of select committees. He was there for only minutes. That Minister runs from select committees. Earlier, I was making an observation about the LAVIII purchase deal of $ or $ million, and my prediction is that when the Auditor-General reports on this, heads will roll---within the military and, I believe, the Minister of Defence himself. That Minister does not just duck select committees, he refuses to answer written questions in this House, he refuses to answer requests under the Official Information Act, and he refuses to reply to letters. But last night, at . p.m.---and Mr Ron Mark will confirm this---the defence chiefs appeared before the Foreign Affairs, Defence and Trade Committee, and members of Parliament could talk directly to them. We found out some amazing things. Let me go through those. Firstly, the Chief of Air Staff, Don Hamilton, agreed with me that in returning a Hercules C to Samoa, the chain of command was overridden, and the law was breached. When I asked him: ``Do you know, sir, who breached the Act; who overrode the chain of command?'', he said: ``I don't know.'' By that comment, it could have been the Minister Mark Burton, it could have been his senior adviser, Jennie Darby, it could have been his private secretary, Duncan Ferner, but someone ordered a Hercules C back to Samoa. The Chief of Air Staff and the Chief of Defence Force explained to members that unacceptable political pressure had been applied to the pilot of that Hercules C. That is against the law; that is a breach of the rules set out in the Defence Act. The Chief of Air Staff explained that this Hercules C was carrying , pounds of bombs. It would have made the Oklahoma bombing look like a small puff if the plane had gone up, and the Chief of Air Staff explained that to us last night, along with the Chief of Defence Force. He told us that the plane landed . tonnes over normal landing weight. He told us that the plane had flown . hours over the limit of time given for a critical rescue mission. He agreed that the mission was not a critical rescue mission. He agreed that it was highly dangerous---and Ron Mark is nodding his head---for this plane to be landed at Whenuapai at a.m. after flying for . hours. I will just say this again for the members: , pounds of bombs. I remember Chris Carter, who knows all about defence, laughing at one point, but once the answers started coming, he was amazingly silent, because the Chief of Defence Force and the Chief of Air Staff viewed it as being very serious. They told the committee that political pressure had been applied to a young pilot, and that as a result of that political pressure, a Hercules C had returned to Samoa and landed. They told us that that had placed ``unacceptable risks'' on the air crew, and that the Minister had ignored the advice of the military. When I said to them: ``Who do you think actually overrode the chain of command?'', the Chief of Air Staff replied: ``I don't know, I just wrote my memo for the chief of defence.'' I then said: ``In your memo you say that the plane was flying under ministerial direction. Have you ever heard of a Hercules C, with bombs, flying under ministerial direction?'', and he said ``Never.'' I continued: ``In the chain of command, is there such a thing as a C flying under ministerial direction?'', to which he replied: ``No.'' I said: ``Under the Defence Act, is there such a thing as flying under ministerial direction?'', and he replied: ``No.'' The chain of command is clear, and there is no such thing as a Minister beating up on a pilot to risk lives, and, indeed, to risk the airport in Samoa. When the Minister was prepared to answer questions on this in this House---he is not any more---he said that he could not contact the Chief of Defence Force, because ``He was in transit at the time, and uncontactable.'' Members know what that means: he was on a plane somewhere. The Chief of Defence Force told us last night that at the time, he was driving to Lower Hutt on the highway, with his cellphone switched on and beside him in the car, and no one rang. I asked the Chief of Defence Force whether he raised the matter with the Minister, and he said he did. I said: ``Did you manage to explain to the Minister that what he did was highly dangerous, illegal, and broke the chain of command?'', and he said he did. I asked whether he thought that this Minister would do that again, and then---and Ron Mark will confirm this---the Chief of Defence Force said, three times, emphatically: ``I can assure this committee that this Minister will never do it again.'' But the Minister has stood up in this House and defended the decision. He has said that under the same circumstances, he would make the same decision. I will not rest until we find out who broke the chain of command.",political.system,political.authority,Political System
1785,"We are confirming the annual taxation rates. Just for the record, I say the c in the dollar tax rate is wrong. The ACT party's policy is to have a top rate of tax of c in the dollar. I was pleased to hear Dr Michael Cullen get up and say to Annabel Young that the top rate of personal tax affects percent of taxpayers. I ask Dr Cullen whether that is correct.",economy,free.market.economy,Economy
1786,Absolutely not. In my last seconds I have a simple question for the Minister: will he apologise to Dr Bill Daniells---yes or no? Schedule agreed to. Bill reported with amendment.,political.system,political.authority,Political System
1787,"Helen Duncan has a lot to say when someone else is talking, does she not! She came here as a unionist, she came here to support this bill, and she will not speak on it. She will not even speak against the amendments that she will vote against. I say that this is the most important amendment, and it is a test for this Government. I was stunned to hear from the Green co-leader, Rod Donald, about the union affiliations of this Government. He described the parliamentary wing of the union movement in New Zealand, the parliamentary wing of Trades Hall in Parliament. They are shaking their heads in agreement. Helen Duncan is agreeing with me that the Labour Party and this Government are the parliamentary wing of the trade union movement in New Zealand. Opposition members have made the allegation that the Labour Party will be funded out of a compulsory collection of wages off working New Zealanders. Not one member of the Government, not one member of the Labour Party, not one member of the Alliance, has stood up in this chamber to deny that, not one. I ask members opposite---I ask each member of the Government---to examine his or her conscience, and say truly---",political.system,political.authority,Political System
1788,"In respect of the decision that the Government has made, given that Brierley's is now percent foreign owned and foreign domiciled, and, indeed, foreign controlled, why does the Minister favour this company over any other foreign company, and is this another example of one rule for the few and another rule for everyone else?",economy,protectionism,Economy
1789,Does Paul Swain understand that? Does the far-sighted and best local government Minister since Henry May understand that?,political.system,political.authority,Political System
1790,"Does the Minister not find it curious that a valuation report of the -hectare site was undertaken by Colliers Jardine for the Defence Force, and reported on February , based on the fact that the planning restrictions meant that this land could be used only for a house and some grazing, and then only after about years of going through the planning process, but that on Sunday, February, Prime Minister Helen Clark and Deputy Prime Minister Jim Anderton stood on the site, announcing it as a superyacht facility---a development that the valuation report specifically ruled out because it would require a notified departure of the Waitakere City district plan, the result being that this site is now miraculously worth millions of dollars with the planning restrictions removed; if he does not find that curious, why does he not?",political.system,political.corruption,Political System
1791,"I seek to table New Zealand Defence Force document /, dated January, in which the sale process is laid out. Document, by leave, laid on the Table of the House.",external.relations,military,External Relations
1792,I do this respectfully. I am trying to go through the claims that Dr Michael Cullen made in his speech and rebut them. Am I allowed to do that?,political.system,political.authority,Political System
1793,"What we have seen tonight is the Opposition parties here holding the Government to account. We have seen the Opposition parties exposing what this draconian bill means, talking about its implications, putting up amendments to try to fix it up, and also holding Labour and the Alliance to their election promises and to their election pledge. I look forward to members of the Government taking the call here and explaining this bill in detail. I look forward to hearing Marian Hobbs, with her nicotine-stained fingers, in this House, because I understand now---",political.system,political.authority,Political System
1794,"If the Alliance is so concerned about the plight of young working people, as she said, why does the Alliance not get the Government to lift the minimum wage to $ an hour, or does she believe that would have a negative impact on employment?",economy,free.market.economy,Economy
1795,"Thank you, Mr Speaker. You have ruled, not minutes ago, that points of order must be heard in silence. And that does not relate to the worthiness, or whatever, of the point of order. When Mr Brownlee was raising his point of order, Helen Clark, Michael Cullen, and, as I saw it, virtually the entire front bench were calling out. I find that unacceptable as a member of Parliament because I was trying to hear.",political.system,political.authority,Political System
1796,"In the light of Mr Tamihere's statement, and also Mr Dover Samuels' concerns about Government direction, does the Prime Minister have their support, and has she considered expediting the passage of the waka-jumping bill?",political.system,political.authority,Political System
1797,"They are going to borrow $. billion, but $. billion of it will go into the fund. That has been denied by the Minister of Finance, but at the Finance and Expenditure Committee---as Mr Donald knows and as members of the National Party know---we put that to Treasury, and the officials said that that was right; that if this fund were not coming into play, instead of having to borrow $. billion over the next years we would have to borrow only $. billion. As bad as borrowing $. billion is, borrowing $. billion is far worse. Borrowing this money, then pretending that somehow it is a matter of saving for the future costs of retirement, is absurd. No one in his or her right mind would suggest to householders that they should start a pension fund before they had paid off their mortgages, and that they should do it by borrowing money at market rates. That is what this Government is doing. It is putting the money in a fund, and is saying that we should not worry, because it has taken care of the future of superannuation. That is what is fundamentally wrong with this bill. But there is a bigger problem, and that is the signal that it sends to New Zealanders who still think Michael Cullen is actually setting up a fund rather than setting up a liability. It is hard work to save; it is hard work to think about one's retirement. What is this Government saying to people? It is telling them that they should not worry, because Parliament---this Government---has taken care of the problem. As the ACT party explicated yesterday, this Government has not taken care of it. Even if the Government were to provide for the fund out of surpluses, in the best year it would provide only percent of the cost of superannuation, and on average it would provide only percent. Yet the costs, as Peter Brown corrected me yesterday, will more than double over the next years. I look forward to Peter Brown taking a call to explain why New Zealand First thinks it is a good idea that the Government, on behalf of taxpayers, borrows $. billion then invests it in overseas markets. I look forward to Peter Brown explaining how this scheme is a good first step, and how New Zealand First will convert it into a funded scheme, like the scheme that Mr Peters proposed back in ---and I can report that, in the great referendum, I voted for that scheme. We have another problem. Who will manage this fund? We have had no explanation from Government. Let us think about it. Government members have brought up the surcharge and National's role in it. Well, the Government has appointed Jim Bolger to chair the ``People's Bank''. People are expected to give their life-savings to the ``People's Bank'', but who can trust Jim Bolger? As Labour was fond of pointing out, as Jim Anderton was fond of pointing out, and as Helen Clark was fond of pointing out, he is the man who said that, ``no ifs, no buts, no maybes'', the surcharge would go. What happened? The surcharge did not go; oh no, it was increased. When Winston Peters got on board, the surcharge went. Maybe we should put him on the ``People's Bank'', after he retires gracefully at the next election! We will go through this part clause by clause because it is very important. We have four more speeches to come on this part, and the point is---",welfare.and.quality.of.life,welfare.state.expansion,Welfare and Quality of Life
1798,"Did the statement of defence admit that Mr Tamihere had been fined $, plus costs by the Auckland District Law Society for forging two signatures on legal documents to obtain a $, grant from Housing New Zealand; if so, does the Prime Minister accept that Mr Tamihere was not entirely correct in his personal explanation to the House on July and in his statement---",political.system,political.authority,Political System
1799,"I raise a point of order, Mr Speaker. Is the Minister seeking leave to table one document or both documents, or is he just promising that he might seek leave?",freedom.and.democracy,constitutionalism,Freedom and Democracy
1800,"Yes, I understand that, but my point of order---and I am trying to help the Committee---is whether, because we had trouble hearing, it would be possible for the Minister to agree to circulate the Hansard of her speech today and of---",freedom.and.democracy,democracy,Freedom and Democracy
1801,"I move, That the House take note of miscellaneous business. Is there any greater example of the failure of this Minister of Finance to provide a more prudent Budget than this---a cheque made out to a taxpayer of New Zealand for a sum of money that was taken down to the bank to be cashed; a cheque that this Government, through the Inland Revenue Department, then stopped? Taxpayers up and down this country are outraged that this Government would change the law retrospectively back to to claw back $ million of refunds. This includes taxpayers' cheques---taxpayers like Mr Peter Petersen, and Mr Doody---that the Government has cancelled because this Government, under Michael Cullen, is cash-strapped. What does the American Chamber of Commerce say about this? There was a press release today from the president of the Chamber of Commerce, Mr Stephen Pearse, and it states: ``The difficulty with this sort of legislation is that potential investors and trading partners will be reluctant to invest in a country where they cannot be certain the laws applying to their transactions will not be changed after the event.'' I have some good news for those taxpayers, and I will talk more on that in a minute. Just today, the High Court has ruled on a case before it that the Inland Revenue Department cannot dishonour a cheque. That is right. Today the High Court ruled that it is illegal for the Inland Revenue Department to cancel a cheque, unless there has been fraud. It cannot cancel a cheque because it has changed its mind. It cannot cancel its cheque because it is working on a plan to change the law retrospectively. I have told the Minister of Revenue that the Crown cannot cancel a cheque---because the Government is like the rest of us: if we went around bouncing cheques we would end up in jail, and quite rightly. Here is the Minister of Revenue bouncing cheques, getting caught, and then changing the law. But I refer to the judgment announced today in a case in the High Court heard before Master Faire. It states that the Inland Revenue Department has to honour a cheque that it has cancelled, and that means that Mr Petersen will get his money.",economy,free.market.economy,Economy
1802,"The ACT party, along with the National Party, opposes clause (). The sweet-sounding people who are to be the guardians of the fund are going to be not only the guardians, but also the geniuses, of the New Zealand business world. They are guaranteeing percent return, not just for year, not occasionally, but every year for years. That is what these guardians are going to do. I ask the Minister in the chair to come to the Chamber and explain how the guardians are going to be chosen. We have seen processes by which this Government has chosen people who are utterly inappropriate for the position, because they are old Labour Party hacks, or dinner buddies, or union friends. These are the sorts of people whom Labour has been appointing, rather than people known for their commercial nous or insight. Certainly, Labour has not been appointing people known to get a return of percent--unless it is a return from the taxpayer! Has the Minister in the chair ever consistently invested in New Zealand, and around the world, and obtained a percent rate of return? Silence! Does anyone amongst his ragtag bunch of Labour Party supporters--dwindling by the minute up in the great Rimutakas--who has a history of investing, been getting percent, year in and year out? He does not know anyone. The only people whom Labour knows who are any good, are centre-right people like Jim Bolger, who, in a fit of craziness--I do not know what happens when one gets old--is favouring overseas socialism in terms of the ``People's Bank''. Labour could not find anyone capable amongst their union lackey mates to run a bank, and I do not think Jim Bolger is capable of it either. But that is where they have to go to get people with commercial nous. They have had a problem with this. There is a difference between the rhetoric used by Labour when in power, compared with the reality. This is the rhetoric: we are going to appoint these guardians; they are going to represent the Returned Services Association, they are going to represent Grey Power, they are going to represent Age Concern, they are going to represent the union, and they are going to invest around the world and obtain percent--on money borrowed from New Zealanders! I am not talking about taxpayers' money, but money ``borrowed'' for the future. I say to the Minister in the chair, if he can borrow money from New Zealanders at percent and obtain percent return, why is he being so stingy? Why borrow $ million; why not borrow $ billion and invest that and obtain percent? If Labour were true to its policy that is what it would do. It is the reality versus the rhetoric. We remember what Labour members said when in Opposition. They were promising extra jobs for New Zealand, but did they tell anyone those jobs were all for Ms Bathgate? Every one of the extra jobs generated by this Government has gone to Ms Bathgate. That is not ``single-dipping'' or double-dipping, but triple-dipping. This is a question for the Minister in the chair: what is the process to be followed in respect of this selection? I ask, because there was a process in respect of appointments to the Employment Relations Authority. The Government set out a process, got people to apply, interviewed people, and spent a great deal of money on consultants. Then Margaret Wilson said: ``No, I don't like the result.'' She got on the phone, rang up her friend Ms Bathgate, and said: ``I know you didn't apply for this job. I know you haven't been interviewed for this, but would you like it?''. What will the process of selecting the guardians of the fund cost? I am relating my question to the selection of guardians and comparing it with the process for the Employment Relations Authority, because when the Government selected Ms Bathgate it did have a process. But there is no process here. What is the process for selecting the guardians, under clause ()? Ms Bathgate got offered a job for $, a year--",political.system,political.authority,Political System
1803,"I raise a point of order, Mr Speaker. I do not know what it is, Mr Speaker, but every time I get up to speak, one of the Labour MPs wanders over, sits either in front of me or behind me, and engages in a conversation.",political.system,political.authority,Political System
